run_id,episode,episode_reward,avg_reward_20ep,avg_loss,epsilon,action_off,action_cool,action_heat,lr,gamma,epsilon_decay,batch_size,buffer_capacity
a39e8264f59c44bdb9cee0d82cafd053,128,-38.4453,-433.22,102.5312,0.5264,3,18,3,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,129,-630.1621,-438.8203,124.5732,0.5238,3,15,6,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,130,-76.0398,-423.1534,125.1743,0.5212,6,15,3,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,131,-67.598,-394.5933,111.5971,0.5186,5,17,2,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,132,-625.821,-385.6454,108.5312,0.516,3,14,7,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,133,-245.291,-364.3279,117.1679,0.5134,3,17,4,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,134,-10.2348,-354.5679,103.415,0.5108,4,17,3,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,135,-154.454,-316.1211,102.3537,0.5083,4,16,4,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,136,-240.1456,-305.0489,108.3069,0.5058,4,14,6,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,137,-479.2574,-306.0275,101.3126,0.5032,5,14,5,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,138,-556.7696,-318.8239,101.4491,0.5007,6,13,5,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,139,-159.3552,-315.0321,109.5775,0.4982,4,16,4,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,140,-154.2113,-285.1853,99.7972,0.4957,3,16,5,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,141,-1102.9019,-313.851,106.9204,0.4932,4,12,8,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,142,-144.7961,-282.8579,104.6552,0.4908,6,15,3,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,143,-415.623,-295.3377,100.2528,0.4883,8,12,4,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,144,-121.4793,-286.5017,84.7855,0.4859,8,14,2,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,145,-521.2957,-304.2058,97.623,0.4834,2,16,6,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,146,-443.0202,-322.9697,95.6003,0.481,5,14,5,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,147,-176.6328,-310.7785,86.814,0.4786,8,15,1,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,148,-250.4392,-314.9511,109.5057,0.4762,6,14,4,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,149,-211.8503,-323.2085,87.8918,0.4738,3,16,5,0.001,0.99,0.995,64,10000
